spectrogram_path,label,split,machine_type
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0013_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0376_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0544_pro_B_vel_8_loc_A_seg9.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0494_pro_A_vel_12_loc_D_seg9.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0560_pro_B_vel_16_loc_A_seg9.npy,0,train,bearing
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0045_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_target_train_normal_0006_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0984_pro_B_vel_16_loc_D_seg9.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_target_train_normal_0009_pro_B_vel_8_loc_H_seg9.npy,0,train,bearing
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0391_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0511_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0237_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0837_pro_B_vel_16_loc_C_seg9.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0274_pro_A_vel_4_loc_C_seg9.npy,0,train,bearing
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0536_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0251_pro_A_vel_4_loc_C_seg9.npy,0,train,bearing
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0723_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0351_pro_A_vel_12_loc_C_seg9.npy,0,train,bearing
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_test_normal_0001_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg0.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg1.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg2.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg3.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg4.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg5.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg6.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg7.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg8.npy,1,train,gearbox
data\spectrograms\gearbox\train\anomaly\section_00_source_test_anomaly_0030_noAttribute_seg9.npy,1,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg0.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg1.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg2.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg3.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg4.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg5.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg6.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg7.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg8.npy,0,train,gearbox
data\spectrograms\gearbox\train\normal\section_00_source_train_normal_0990_noAttribute_seg9.npy,0,train,gearbox
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg2.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg3.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg4.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg5.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg6.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg7.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg8.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0707_pro_B_vel_16_loc_B_seg9.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0910_pro_B_vel_8_loc_D_seg0.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0910_pro_B_vel_8_loc_D_seg1.npy,0,train,bearing
data\spectrograms\bearing\train\normal\section_00_source_train_normal_0910_pro_B_vel_8_loc_D_seg2.npy,0,train,bearing
